hw(rs1),HW
0,0
4,61
22,173
21,206
26,223
19,191
11,176
15,170
18,184
6,176
6,93
15,135
23,174
19,174
1,37
27,217
24,214
24,193
6,62
13,186
9,125
18,198
22,165
18,220
1,59
23,193
20,200
8,187
6,154
23,219
10,180
24,198
25,137
17,104
27,225
20,194
23,209
22,189
26,221
13,175
7,134
2,63
1,59
1,48
13,186
4,115
2,97
23,175
14,196
1,55
25,184
12,186
3,71
19,186
14,190
6,157
16,202
28,198
15,192
15,186
25,203
12,169
9,165
15,179
14,165
26,219
19,188
23,209
5,132
1,58
13,167
24,167
8,170
14,174
6,66
9,163
15,211
24,121
22,212
15,184
25,217
3,92
19,199
3,94
18,138
21,214
18,189
9,134
23,208
7,131
12,196
21,170
8,161
24,221
10,180
6,158
22,195
20,190
23,159
22,200
22,232
11,106
23,220
19,187
23,192
23,213
3,100
23,193
24,220
9,141
0,16
21,159
21,109
24,128
21,190
4,136
20,159
0,14
20,200
0,16
22,149
19,164
4,88
9,158
3,48
6,146
9,181
21,172
23,197
4,95
10,159
23,212
21,218
15,173
27,222
19,202
25,207
7,187
24,196
22,169
8,185
22,164
22,118
21,184
3,96
3,95
6,115
17,192
21,214
22,199
14,155
24,169
22,124
16,215
23,196
12,193
15,192
18,214
19,198
23,120
11,149
6,97
25,204
25,220
15,168
26,241
1,37
17,112
1,48
5,120
18,203
26,229
12,148
21,169
9,155
27,146
9,203
5,61
23,218
26,232
4,96
6,129
10,180
22,178
26,200
19,192
17,188
13,197
14,112
18,195
20,179
19,143
22,213
17,198
13,177
3,81
3,121
6,157
24,198
15,199
9,163
21,195
21,192
8,156
22,201
25,223
7,162
22,222
22,226
20,222
22,177
17,155
20,186
23,193
4,96
14,188
14,162
4,121
18,113
3,71
18,206
2,68
12,161
19,169
8,142
6,168
22,111
17,161
22,202
2,72
6,149
19,197
13,169
23,171
21,212
24,210
22,178
21,154
20,170
12,162
26,218
17,189
29,261
15,181
12,145
22,166
20,213
26,224
20,185
16,194
2,91
1,36
8,188
25,172
12,173
15,201
8,161
7,147
18,190
9,83
12,196
5,76
19,112
9,177
18,105
13,182
24,190
9,171
25,130
17,200
25,183
13,203
23,202
16,197
20,194
2,81
19,132
24,201
15,197
21,117
22,160
18,213
5,66
23,210
8,89
26,179
23,202
13,148
7,79
19,186
21,222
22,199
23,190
5,131
4,127
23,167
28,234
21,172
17,186
6,159
6,141
13,207
23,210
15,114
12,185
6,168
26,194
21,147
23,187
26,230
1,43
22,167
23,203
10,149
19,200
21,177
12,177
5,114
28,240
3,107
14,173
14,169
0,16
25,202
11,181
16,176
23,190
10,174
11,168
19,160
6,121
17,185
10,150
17,204
23,191
12,170
19,170
9,131
1,48
21,164
4,115
7,149
19,185
13,193
21,192
25,171
26,238
17,213
24,233
3,101
1,48
5,124
24,179
19,181
10,163
18,200
16,165
16,164
21,183
5,111
19,200
3,100
26,197
12,177
21,208
8,182
3,117
22,194
17,192
16,155
11,142
20,193
1,59
20,178
0,14
15,186
7,166
6,130
22,193
16,190
20,191
12,96
20,186
22,122
25,169
19,198
13,194
6,137
19,201
18,178
23,208
22,132
16,174
7,173
21,191
3,99
26,234
0,20
21,208
27,242
18,155
10,166
15,184
21,200
19,152
5,128
26,236
14,158
23,205
10,182
9,163
19,170
1,59
6,145
16,172
7,167
13,157
26,227
13,178
16,190
4,85
7,153
16,199
7,165
21,193
11,159
21,219
20,196
20,200
3,116
3,104
3,129
4,59
15,156
18,181
20,112
12,165
19,200
17,167
6,145
2,85
4,137
24,194
2,34
15,189
22,206
15,147
18,210
3,95
22,210
12,191
0,16
22,201
14,195
16,195
26,211
1,47
21,219
0,18
23,163
18,177
1,44
11,144
21,148
10,189
7,158
21,180
22,215
11,170
18,174
17,203
8,135
7,128
6,145
1,59
24,203
24,203
4,124
17,172
1,58
11,174
3,94
20,214
2,58
12,169
26,186
23,228
25,193
18,144
4,84
26,234
22,191
2,100
12,204
5,126
12,196
20,148
26,210
25,193
5,84
3,118
20,191
10,170
12,178
6,157
11,174
20,166
13,164
23,211
0,18
6,145
20,173
22,227
25,190
0,16
3,85
7,175
12,191
25,202
17,114
13,180
17,197
15,107
10,158
27,182
9,168
22,183
10,162
4,100
23,178
13,148
4,118
2,58
8,178
22,168
1,48
11,156
23,227
13,208
14,187
24,200
13,202
23,189
6,100
23,213
20,215
8,173
19,198
0,14
25,232
11,199
22,176
2,60
24,210
13,215
18,205
26,229
7,166
3,106
19,194
14,200
5,146
18,199
25,221
25,229
13,183
17,205
24,220
22,174
3,90
17,111
24,218
9,160
1,48
12,169
9,172
4,88
6,138
7,82
21,198
21,196
25,192
15,187
27,236
17,171
3,96
13,206
20,209
5,105
6,71
25,153
4,61
17,218
3,122
11,191
23,189
22,157
25,204
15,199
18,168
21,222
2,105
11,100
21,200
2,84
13,197
19,206
22,203
11,145
4,92
24,208
4,137
2,57
4,119
26,217
22,172
21,212
24,223
24,201
23,204
1,48
23,222
21,210
18,170
21,174
15,165
24,172
26,224
23,218
0,16
1,48
19,170
21,180
26,224
3,48
9,169
15,154
23,190
9,180
23,175
2,57
24,182
15,209
23,176
24,203
6,159
14,201
17,169
26,219
19,194
3,101
13,156
9,164
14,164
17,217
20,204
4,130
22,208
1,70
21,183
23,118
22,179
9,173
3,81
18,189
14,169
10,92
12,157
25,207
3,112
3,81
27,182
23,206
2,69
19,182
24,216
16,156
13,185
20,186
16,140
21,207
3,75
12,191
9,167
11,96
22,207
18,203
16,202
16,217
18,162
16,141
19,197
9,186
23,203
24,207
7,181
12,170
0,18
28,230
18,155
9,84
26,199
14,204
18,213
25,207
23,194
3,94
14,193
24,213
3,95
25,220
12,108
22,156
18,194
10,126
23,131
3,91
1,59
7,158
14,201
7,176
15,203
7,161
22,127
21,183
18,199
3,104
17,227
6,148
20,169
24,220
1,47
8,104
20,145
8,89
24,211
19,150
7,166
20,206
1,36
7,162
18,194
5,131
2,93
15,199
23,199
6,110
3,48
20,179
23,186
6,140
0,14
13,179
21,181
7,147
17,160
23,175
7,120
23,185
22,133
5,94
24,176
17,180
1,59
14,155
16,199
21,185
18,154
24,196
22,228
12,166
10,134
22,185
17,172
15,170
17,192
8,161
23,218
11,193
21,177
20,181
23,195
22,198
21,174
14,217
24,177
10,178
24,212
21,210
9,189
5,106
12,178
19,108
22,197
16,179
23,187
24,223
22,208
23,189
3,73
25,122
19,165
18,154
24,125
1,70
17,208
22,184
