hw(rs1)+hw(rs2),HW
24,7880
22,8004
28,7968
14,7786
20,7932
26,7938
30,7984
17,7740
23,7935
29,7941
21,7793
18,7930
24,7880
20,7890
9,7837
25,7811
30,7942
19,7917
23,7963
13,7869
28,7982
19,7740
19,7889
19,7833
27,7925
24,7936
28,7982
17,7803
18,7846
12,7798
27,7995
21,7849
22,7878
27,7925
20,7862
32,7972
14,7856
27,7939
24,7852
15,7927
26,7924
20,7806
3,7747
18,7790
29,7955
20,7904
12,7742
23,7893
6,7778
30,7942
12,7740
15,7843
23,7935
35,7989
12,7896
4,7776
18,7740
20,7848
27,7939
27,7981
28,7940
10,7740
13,7883
12,7896
34,7988
26,7924
31,7971
25,7951
11,7867
36,8004
30,7956
22,7934
26,7882
33,7973
22,7948
17,7761
14,7814
26,7952
24,7894
19,7945
23,7991
25,7923
26,7938
19,7875
27,7911
14,7884
24,7880
6,7741
25,7951
27,7883
25,7937
27,7981
28,7912
33,7973
25,7937
31,7971
29,7969
26,8008
12,7742
29,7899
20,7792
15,7885
25,7937
14,7740
22,7878
31,8040
32,7944
9,7823
15,7745
33,7973
24,7852
19,7763
12,7742
15,7871
34,8002
23,7921
22,7808
26,7854
17,7887
30,7984
17,7929
17,7957
24,7866
26,7938
23,7949
27,7911
9,7823
14,7772
0,7740
21,7891
23,7809
25,7895
19,7805
9,7823
17,7775
26,7896
13,7911
30,7956
33,7987
21,7947
24,7866
23,7851
21,7961
21,7821
30,7970
10,7810
19,7847
32,7944
22,7948
22,7892
31,7943
16,7844
27,8009
25,7895
20,7848
18,7930
35,8031
14,7814
35,7989
35,8003
31,7971
26,7882
21,7961
23,7991
19,7749
17,7789
10,7796
8,7808
27,7925
20,7988
34,7988
22,7864
19,7987
33,7973
22,7822
15,7899
18,7804
21,7891
20,7932
30,7900
25,7867
30,7914
31,7957
14,7884
3,7747
29,7969
25,7867
27,7953
29,7899
25,7923
10,7740
22,7934
23,8005
20,7974
8,7780
32,7986
24,7908
22,7948
16,7928
32,7958
31,7971
33,8001
16,7760
8,7740
26,7938
21,7975
18,7986
23,7823
20,7960
18,7916
10,7866
28,7898
18,7916
21,7835
33,7945
15,7941
27,7897
33,7959
24,7852
36,8004
23,7865
30,7928
26,7966
8,7780
27,7911
22,7836
19,7763
34,7974
18,7860
20,7862
22,7948
4,7741
35,7989
21,7849
26,7924
30,7942
23,7977
23,7935
17,7775
30,8026
19,7889
6,7740
5,7749
4,7741
29,7969
17,7943
13,7740
31,7943
17,7859
24,7950
26,7868
29,7997
23,8033
26,7882
30,7942
20,7792
18,7762
13,7869
28,7982
19,7959
25,7965
18,7958
29,7913
29,7899
8,7766
26,7966
28,7968
30,7914
15,7829
24,7936
24,7964
31,7929
26,8008
21,7891
31,7985
27,7911
26,7910
27,7869
27,7939
23,7935
33,7987
12,7740
16,7914
18,7776
0,7740
34,7988
21,7835
15,7829
27,7925
14,7912
10,7838
28,7982
20,7988
26,7938
29,7955
32,7972
17,7971
23,7879
18,7860
23,7823
24,7922
27,7925
25,7895
16,7914
29,7941
21,7849
19,7903
24,7852
32,7958
5,7763
21,7765
16,7956
27,7981
25,7881
30,7998
20,7904
9,7741
26,7952
32,8000
16,7816
20,7792
35,8031
18,7874
19,7847
26,7868
28,7940
8,7794
14,7926
27,7897
22,7976
17,7775
24,7894
31,7943
22,7920
22,7962
17,7957
28,7940
18,7944
24,7824
31,7985
28,8527
32,7958
22,7934
15,7787
23,7907
16,7746
16,7928
29,8382
18,7832
8,7822
11,7811
17,7943
28,7968
32,7930
26,7896
14,7926
26,7952
18,7804
19,7931
10,7768
5,7741
23,7977
14,7744
22,7892
26,7952
13,7743
33,7987
32,7972
22,7920
28,7912
24,7922
15,7773
30,8012
20,7960
16,7956
30,7900
11,7769
11,7740
28,7940
13,7855
14,7744
23,7879
30,8012
21,7975
11,7811
32,7972
26,7896
26,7952
24,7992
20,7932
29,7941
37,7991
27,7953
13,7757
28,7884
19,7931
28,7926
29,7955
38,7992
36,8004
22,7822
23,7809
19,7777
15,7927
11,7881
31,7943
26,7882
28,7926
30,7942
32,7958
14,7842
18,7804
12,7854
20,7974
20,7820
12,7882
11,7797
24,7852
16,7956
27,7939
20,7862
13,7827
23,7949
15,7759
24,7894
28,7968
17,7747
25,7881
25,7965
6,7806
32,7944
18,7860
22,7906
32,7986
14,7898
16,7858
23,7949
18,7832
27,7897
33,8015
24,7894
23,7921
3,7740
24,7880
23,7837
31,7971
33,7987
20,7806
31,7929
17,7845
32,7958
15,7857
25,7895
33,7987
27,7911
23,7893
31,7957
8,7836
11,7783
23,7977
10,7866
9,7767
24,7964
26,7896
29,7955
5,7777
15,7759
25,7853
20,7890
32,7972
15,7927
22,7948
30,7956
24,7950
18,7846
18,7916
29,7927
25,7951
26,7966
24,7964
26,7980
18,7776
21,7765
18,7740
17,7747
15,7740
24,7950
19,7777
3,7740
6,7741
25,7979
10,7796
21,7807
15,7843
14,7884
34,7988
26,7896
35,8031
31,7985
8,7741
24,7810
19,7903
12,7742
21,7975
16,7746
26,7896
24,7880
27,7925
21,7891
32,8000
7,7807
34,7988
33,7987
26,7854
21,7961
23,7935
9,7851
23,7879
5,7791
23,7893
35,8003
17,7957
21,7821
18,8628
29,7955
29,7941
23,7921
13,7799
17,7740
20,7904
21,7989
22,7822
21,7989
29,7983
14,7856
20,7820
33,7973
22,7878
23,7949
17,7887
23,7949
31,7957
11,7797
15,7787
22,7948
24,7894
29,7941
17,7747
17,7887
21,7793
24,7894
24,7866
31,7971
13,7771
29,7969
24,7838
18,7874
7,7807
31,7999
29,7899
22,7962
17,7845
21,7821
3,7740
10,7810
27,7925
27,7883
34,7988
29,7955
23,7879
24,7852
15,7740
27,7967
19,7959
30,7970
25,7909
13,7743
21,7919
23,7977
28,7954
28,7926
34,7988
24,7964
20,7890
20,7960
18,7888
15,7885
5,7763
24,7978
23,7907
36,8004
27,7911
30,7956
19,7931
16,7774
12,7840
19,7777
25,7951
14,7926
20,7862
12,7770
22,7850
14,7772
24,7852
16,7788
9,7795
12,7756
24,7964
17,7943
28,7926
22,8004
27,7883
14,7856
3,7741
20,7778
12,7740
26,7896
16,7760
24,7852
16,7774
3,7747
20,7946
14,7856
24,7908
12,7770
11,7740
23,7865
32,7958
16,7788
21,7947
30,7914
33,7987
26,7910
12,7756
21,7919
30,7928
29,7997
29,7983
30,7928
16,7914
26,7952
28,7940
32,7986
29,7955
28,7954
7,7751
22,7920
15,7843
30,7928
10,7754
22,7948
17,7775
23,7991
27,7897
33,7987
30,7928
19,7875
22,7850
26,7882
17,7775
12,7882
28,7940
23,7935
27,7897
31,7957
24,7950
28,7884
18,7916
6,7750
34,8030
22,7864
18,7902
30,7970
20,7862
18,7916
19,7791
21,7905
16,7802
24,7894
16,7914
24,7880
22,7864
28,7982
30,7956
19,7791
13,7785
18,7790
13,7785
14,7856
31,7957
15,7857
18,7832
14,7740
22,7864
22,7920
27,7883
26,7882
18,7944
20,7918
8,7808
13,7841
13,7785
22,7878
18,7986
25,7923
22,7934
22,7962
12,7740
5,7749
1,7740
17,7761
28,7940
27,7897
20,7862
8,7808
26,7882
12,7756
22,7948
26,7994
22,7920
29,7955
29,7941
33,7973
24,7922
27,7925
20,7904
32,7958
32,7958
23,7935
29,7913
30,7914
29,7955
32,7944
32,7986
27,7911
22,7836
17,7859
10,7824
28,7954
36,8032
31,7943
24,7922
24,7922
35,7975
30,7956
20,7932
24,7936
20,7834
32,7944
27,7939
20,7904
0,7740
18,7944
20,7960
36,8032
18,7748
22,7948
20,7932
8,7836
18,7916
23,7921
32,7972
28,7884
21,7947
16,7914
10,7782
26,7966
22,7920
28,7968
26,7980
25,7965
21,7933
23,7977
21,7975
20,8002
18,7944
29,7969
36,8018
29,7955
15,7899
14,7898
14,7744
18,7846
25,7909
28,7982
23,7851
19,7959
21,7947
28,7940
32,8000
11,7853
32,7958
13,7757
17,7831
17,7943
14,7744
19,7889
21,7807
27,7953
7,7740
28,7954
32,7972
33,7987
26,7952
28,7968
25,7895
30,7914
29,7913
19,7861
34,8016
33,8015
30,7886
13,7740
12,7840
27,7953
19,7777
15,7740
14,7926
10,7741
15,7885
16,7844
16,7942
35,8003
7,7807
34,8170
31,7957
14,7912
24,7964
15,7759
31,7971
12,7868
19,7987
34,7974
21,7793
22,7822
25,7965
31,7957
33,7945
20,7778
27,7925
22,7990
26,7910
15,7857
21,7933
25,7895
15,7927
26,7938
36,8004
31,7985
24,7950
13,7897
20,7974
16,7746
29,7955
23,7851
25,7923
15,7941
16,7956
22,7892
23,7935
16,7914
21,7821
8,7766
18,7888
16,7914
29,7941
19,7931
28,7982
20,7946
18,7740
33,8001
30,7956
23,7879
16,7740
20,7848
21,7863
15,7913
16,7830
2,7741
27,7911
32,7986
31,7957
28,7926
22,7822
29,7941
28,7968
28,7982
22,7892
16,7886
11,7755
31,7957
20,7960
5,7740
20,7792
20,7960
18,7790
15,7927
33,7973
28,7940
27,7897
31,7943
38,8006
21,7905
27,7939
3,7740
29,7983
25,7965
21,7877
16,7956
14,7800
30,7942
17,7971
9,7851
24,7852
12,7756
15,7913
25,7937
24,7880
17,7775
24,7838
22,7934
10,7866
17,7915
20,7918
25,7895
18,7944
23,7865
7,7779
19,7861
28,7912
13,7911
22,7780
19,7777
31,7943
18,7916
33,8015
25,7965
19,7777
20,7750
34,7988
25,7937
31,7957
20,7848
24,7880
28,7996
31,7971
19,7819
30,7928
26,7980
6,7764
22,7850
23,7991
32,8014
21,7835
18,7986
16,7815
24,7922
16,7914
35,8031
16,7788
28,8010
26,7882
23,7879
28,7982
7,7765
26,7854
23,7921
8,7752
21,7877
25,7909
23,7823
29,7969
18,7916
27,7897
22,7892
16,7844
26,7980
9,7823
37,8005
32,7986
17,7873
32,7972
28,7968
21,7975
25,7923
16,7956
18,7986
25,7881
13,7897
29,7913
26,7938
23,7823
21,7947
29,7941
19,7987
10,7740
10,7838
23,7921
30,7956
11,7853
