hw(rs1)+hw(rs2),HW
0,0
15,82
1,9
29,136
34,150
5,38
16,110
14,121
26,124
19,134
28,131
30,155
31,155
25,128
18,88
32,154
20,109
24,133
23,127
32,141
23,152
26,118
19,130
29,136
17,109
31,160
29,149
31,141
22,137
29,142
7,85
31,133
19,70
28,123
5,102
15,109
18,110
28,127
15,97
29,136
13,83
22,127
25,119
22,118
29,154
19,114
9,89
26,142
12,96
24,104
20,120
34,151
16,133
10,71
27,134
8,99
24,135
23,131
26,118
28,156
11,104
13,116
18,136
14,96
15,107
8,78
21,108
29,143
21,120
29,145
26,125
17,117
29,145
9,69
16,89
17,117
22,134
30,152
29,154
25,122
26,139
25,131
29,143
28,154
17,95
33,153
25,131
25,141
27,133
31,147
33,155
35,162
27,138
28,126
16,85
9,89
28,156
29,162
4,87
27,154
30,154
29,135
7,63
17,119
9,91
16,108
25,135
22,132
23,134
13,95
31,155
11,71
31,136
30,138
27,144
31,146
19,134
22,118
4,58
16,124
31,143
29,147
20,109
15,81
22,127
15,82
31,152
14,85
26,118
19,121
28,137
33,167
24,152
11,92
21,120
29,147
27,143
28,133
23,128
20,107
4,36
26,131
32,142
10,100
19,137
31,157
28,130
7,87
15,100
23,153
25,127
8,91
23,151
30,176
20,132
5,43
22,163
24,122
29,134
22,129
32,162
24,153
30,139
36,182
12,83
26,140
21,125
26,129
11,125
19,88
29,167
24,130
22,126
13,110
16,107
32,159
19,115
27,137
30,136
20,93
26,129
24,130
2,54
34,179
16,91
28,134
14,113
14,99
18,126
21,124
18,120
35,152
29,134
27,109
30,153
25,125
17,105
28,137
27,141
20,125
15,90
36,162
23,118
25,148
13,100
20,119
31,155
16,100
30,159
31,145
21,135
25,129
16,102
32,138
16,99
14,110
27,136
20,97
23,127
13,107
17,132
24,139
18,115
28,153
18,108
13,114
31,149
18,114
23,118
21,108
13,99
24,137
23,135
14,101
22,130
15,119
29,149
30,136
7,82
20,99
17,126
31,153
25,135
26,142
18,98
25,140
8,49
21,138
30,145
27,123
11,78
27,134
21,112
9,88
20,123
16,93
34,161
25,146
25,137
23,127
29,144
9,93
18,109
16,105
16,123
20,131
28,140
31,162
31,153
25,144
19,125
28,145
25,125
22,137
26,115
29,133
26,151
21,139
26,158
32,149
32,138
29,132
14,93
12,101
24,139
29,130
28,137
25,139
24,139
14,103
31,145
16,108
26,143
27,164
20,111
16,116
21,117
18,105
23,125
23,133
26,124
13,83
11,84
27,119
25,112
14,110
23,157
15,113
19,109
29,141
31,170
18,116
33,157
26,137
16,115
11,86
29,141
17,117
15,107
18,130
18,115
30,140
25,122
8,91
23,141
24,133
12,91
8,100
19,127
23,128
35,153
17,106
26,134
34,143
20,96
15,86
18,130
16,98
16,109
16,93
28,154
13,103
31,155
23,132
22,134
31,160
18,74
23,127
23,112
13,107
23,116
18,131
27,136
28,139
20,117
27,140
23,139
26,120
26,106
20,122
33,152
15,109
20,112
6,83
30,134
6,93
29,140
20,139
18,104
16,106
29,156
20,108
23,121
14,120
23,128
21,119
14,100
17,113
13,109
26,117
31,153
33,151
29,137
28,138
24,135
18,113
14,128
33,134
26,133
23,123
25,139
21,128
26,124
13,96
20,131
3,13
5,100
22,127
10,103
21,120
30,162
15,119
19,115
26,157
21,104
14,100
18,130
28,151
14,96
25,130
21,117
27,136
27,166
28,144
14,103
27,150
15,124
16,82
29,130
23,132
31,157
31,128
30,148
18,117
27,142
20,116
15,116
26,151
23,133
34,161
13,97
16,112
18,104
30,132
13,95
6,96
25,143
31,147
24,140
21,111
21,125
37,162
30,138
32,150
20,128
21,119
31,163
26,141
17,111
11,93
22,129
24,143
14,94
19,120
25,150
22,119
27,124
18,111
17,101
28,147
22,137
28,144
21,114
2,32
29,147
4,92
27,124
23,144
20,135
15,94
22,107
13,116
15,101
23,122
28,128
27,163
31,159
21,109
21,129
25,137
14,100
22,122
26,136
29,147
24,145
28,133
19,116
26,128
11,107
27,133
14,77
17,103
23,141
11,112
27,133
13,93
11,97
21,114
28,154
18,111
21,129
13,112
16,94
16,120
25,129
5,78
26,149
15,112
30,132
22,133
26,142
27,133
10,87
28,135
24,130
24,134
14,79
35,155
33,155
11,105
17,132
27,134
32,172
18,113
31,148
29,152
16,106
21,120
11,102
17,123
32,151
24,121
15,112
18,111
17,133
14,119
20,132
16,83
15,119
24,117
27,139
20,102
24,110
26,151
26,146
26,138
29,124
21,119
22,120
16,106
29,144
27,129
12,113
22,121
21,139
16,128
26,140
25,132
16,101
25,119
20,112
29,150
11,71
25,116
33,146
14,79
14,112
30,150
18,111
30,145
27,139
35,141
32,160
14,96
18,114
11,89
15,83
14,113
19,101
11,107
23,142
15,97
23,120
25,134
11,112
31,164
25,125
14,95
3,61
19,120
22,151
24,139
10,103
30,151
15,111
26,143
29,157
18,106
6,83
28,139
10,71
25,139
25,133
20,117
8,81
15,122
35,166
32,156
7,82
15,92
17,106
23,137
26,139
21,137
33,147
24,122
14,74
23,140
32,150
22,122
12,95
27,147
14,95
22,126
30,163
23,140
12,101
18,100
21,113
23,118
3,55
16,109
32,162
6,107
30,141
23,139
24,135
27,136
22,111
14,104
17,80
13,122
17,119
30,129
23,118
20,120
21,111
10,106
14,115
28,150
19,104
23,107
9,120
12,97
