hw(rs1)+hw(rs2),HW
11,6896
11,7050
21,6934
27,7066
34,7129
15,7279
30,7181
27,7066
20,7157
23,7076
25,7162
13,6912
27,7164
28,7137
10,7007
30,7153
24,7035
6,6947
11,6910
32,7141
30,7097
27,7066
31,7168
17,7126
24,6993
19,6988
30,7167
22,7131
29,7096
23,7006
9,6908
15,7040
20,7215
27,7136
17,6902
27,7136
23,7090
17,6902
25,7134
15,6900
29,7124
31,7126
14,7053
3,6930
29,7068
20,6989
23,7104
18,7043
3,6902
14,7081
18,6959
18,7099
12,6911
35,7158
7,6948
27,7136
26,7121
31,7126
24,7133
23,7076
19,7100
17,7028
18,7001
21,6962
17,6944
24,7035
4,6945
24,7119
35,7186
28,7109
20,7059
17,7140
19,6932
11,6952
17,7014
13,7080
13,7024
26,7065
3,6888
27,7094
24,7049
25,7078
12,6897
16,6901
20,6961
17,7098
13,6926
26,7093
28,7067
30,7125
19,7030
31,7140
18,7113
22,7089
30,7111
32,7155
24,7049
17,7056
7,6906
11,6938
35,7172
29,7138
15,7096
24,7147
19,7072
25,7092
28,7165
26,7369
31,7140
9,6894
23,7104
17,6944
20,6975
10,6993
6,6947
24,7049
27,7094
23,7020
11,7036
17,7056
14,6997
21,7144
15,6998
29,7138
32,7113
19,7016
17,7084
21,7088
31,7126
26,7149
29,7110
29,7040
30,7300
32,7141
23,7020
25,7064
14,7025
29,7303
29,7054
30,7125
20,6989
27,7192
22,7075
28,7067
10,6937
31,7154
15,6942
27,7108
16,6929
33,7170
31,7126
13,6968
28,7109
31,7182
16,6915
23,7020
29,7068
22,7103
30,7111
36,7145
13,6996
27,7122
33,7170
21,7018
16,7083
25,7064
22,6991
20,7003
15,7068
26,7051
18,7086
17,7126
24,7063
30,7203
15,7040
25,7176
22,7089
19,6918
26,7065
34,7171
16,6915
18,7071
28,7067
14,7206
27,7080
34,7200
27,7108
31,7084
16,7083
27,7137
24,7105
1,6900
14,7095
22,7131
31,7098
22,7103
30,7097
30,7242
33,7156
10,6937
26,7093
22,7173
4,6945
17,7070
31,7140
33,7156
16,7097
23,7104
11,6980
12,6911
16,7125
17,7098
28,7095
12,6939
19,7030
26,7065
28,7109
18,7001
14,6969
33,7184
18,7113
19,6918
28,7109
8,7005
28,7123
20,6933
34,7143
30,7083
2,6901
14,7053
15,7082
16,6915
26,7009
22,7117
19,6960
33,7156
24,7021
32,7169
4,6917
21,7004
30,7125
17,7070
6,6975
27,7052
11,6938
16,7097
27,7150
6,6961
22,7145
28,7171
27,7052
17,6930
15,6900
26,7065
22,7117
30,7139
20,7115
13,7010
20,7101
30,7167
30,7111
21,6990
15,6984
26,7079
16,6915
16,7055
30,7097
29,7082
28,7081
7,6906
32,7113
19,6960
18,6973
15,6900
28,7025
26,7051
31,7140
11,6952
24,7021
15,6900
29,7124
17,7098
34,7157
20,6989
25,7036
24,7049
17,7073
32,7127
23,7160
15,6942
9,6964
19,6946
26,7121
24,6993
26,7135
27,7094
31,7140
15,7082
33,7142
31,7126
33,7156
25,7120
13,6898
36,7131
24,7162
16,7111
29,7082
25,7176
22,7159
29,7110
23,7094
29,7096
19,7072
23,7034
18,6945
18,7141
29,7124
34,7143
15,6928
32,7155
24,7035
20,6947
21,7130
27,7150
21,6948
33,7184
25,7022
23,7090
6,6905
29,7096
11,6980
25,7078
16,7111
27,7279
32,7099
10,7035
31,7098
26,7121
26,7037
13,6912
26,7173
20,6975
15,7054
23,7146
19,7044
19,6946
5,6904
20,7073
14,7011
24,7021
17,7042
21,7102
10,7021
11,6980
20,7129
13,7066
35,7158
28,7095
22,7131
33,7142
22,7033
30,7097
28,7053
30,7139
16,6901
32,7183
32,7141
11,6924
10,6951
18,7001
28,7095
23,7062
20,7129
13,6912
18,7113
19,7044
23,7146
29,7110
29,7124
21,7144
4,6945
30,7139
32,7155
16,6915
27,7094
5,6918
26,7079
10,6909
24,7091
10,6979
28,7109
17,7014
30,7069
27,7038
17,6916
15,6900
28,7067
15,6900
19,6946
17,6958
3,6916
15,6914
26,7199
24,7077
15,6914
28,7109
18,6945
20,6989
14,7095
31,7098
29,7110
16,7041
22,7075
22,7117
16,6929
17,7014
31,7126
30,7139
21,6990
24,7133
27,7108
16,6929
27,7232
4,6903
23,7048
25,7106
18,7099
16,6943
27,7136
15,7068
28,7067
28,7095
13,7080
31,7236
23,7132
29,7082
16,6999
19,6946
14,7081
20,7045
8,6963
15,7040
20,7143
23,7132
18,7130
28,7123
18,7015
32,7169
7,6976
27,7066
12,7065
21,7102
26,7135
23,7076
14,7025
19,7115
24,7035
9,6922
20,7115
22,7103
23,6964
12,6967
21,7088
19,7100
28,7095
24,7007
15,7068
3,6916
33,7142
16,7097
22,7145
12,6995
26,7079
17,7098
20,7129
28,7109
23,7104
22,7103
28,7081
24,7035
21,6990
22,7019
22,6977
27,7150
21,7130
6,6891
14,7039
10,6979
14,6969
20,7716
31,7126
32,7169
10,6923
28,7081
20,7166
23,6992
21,7046
13,6954
3,6930
12,6939
24,7035
21,7060
26,7149
21,7060
23,7034
29,7068
21,7060
29,7166
27,7150
22,7103
31,7112
14,6955
21,8023
34,7171
23,7258
21,7004
25,7036
23,7090
29,7138
19,7016
21,7172
26,7093
16,6985
32,7127
28,7067
23,7062
18,7099
20,7171
25,7078
28,7039
23,7034
30,7111
16,6929
29,7152
15,6991
34,7143
16,7069
30,7153
28,7109
20,6947
23,7034
6,6891
22,6977
11,7050
22,7075
29,7110
14,6955
30,7069
25,7092
13,7010
29,7124
25,7078
11,7036
33,7114
20,7157
24,7077
22,7061
24,7161
18,7001
30,7097
25,7106
25,7134
32,7169
28,7095
23,7076
35,7186
18,7127
29,7124
22,6991
15,7110
7,6920
22,7005
14,6955
19,7072
20,7101
14,6913
20,7003
20,6961
19,7030
19,6960
21,7088
25,7092
13,6982
24,7133
19,6904
18,6973
22,6963
18,7071
28,7123
24,7119
13,7066
23,7118
22,7103
12,6925
18,7057
25,7036
19,7058
26,7093
12,6953
18,6959
33,7142
12,7289
24,7091
20,7220
26,7121
30,7153
32,7127
16,7111
17,7098
16,7069
21,7074
30,7139
27,8140
11,6938
20,7059
11,6980
18,6959
33,7156
18,7275
23,7034
33,7128
5,6946
17,6944
25,7036
28,7221
33,7288
12,6981
