hw(rs1),HW
0,6927
14,6927
15,6927
17,6927
12,6927
13,6927
11,6927
14,6927
11,10322
15,6927
17,6927
0,6927
5,6927
8,6927
15,6927
16,6927
16,6927
5,6927
12,6927
18,6927
15,7700
4,6927
14,6927
16,6927
2,6927
12,6927
7,6927
2,6927
12,6927
7,6927
6,6927
13,6927
15,6927
1,6927
6,6927
1,6927
15,6927
15,6927
14,6927
8,6927
17,6927
14,6927
3,6927
5,6927
14,6927
7,6927
0,6927
9,6927
6,6927
5,6927
15,6927
12,6927
11,6927
12,6927
10,6927
9,6927
12,6927
12,6927
7,6927
9,6927
5,6927
7,6927
14,7884
6,6927
15,6927
1,6927
13,6927
14,6927
11,6927
12,6927
14,7218
8,6927
8,6927
17,6927
2,6927
12,6927
7,6927
19,6927
8,6927
8,6927
11,6927
14,6927
0,6927
16,6927
10,10112
7,6927
15,6927
12,6927
14,6927
1,6927
19,6927
15,6927
12,6927
8,6927
7,6927
6,6927
11,6927
9,6927
0,6927
10,6927
10,6927
10,6927
2,6927
2,6927
13,6927
8,6927
2,6927
6,6927
8,6927
14,6927
0,6927
14,6927
12,6927
13,6927
16,6927
18,6927
13,6927
16,6927
3,6927
3,6927
12,6927
17,10523
14,6927
10,6927
12,6927
8,6927
12,6927
20,6927
0,6927
11,6927
18,6927
6,6927
15,6927
17,6927
13,6927
12,6927
14,6927
1,6927
3,6927
2,6927
17,6927
13,6927
7,6927
13,6927
12,6927
17,7292
12,6927
3,6927
17,6927
13,7269
12,6927
14,6927
9,6927
14,6927
9,6927
9,6927
17,7016
6,6927
1,6927
12,6927
9,6927
11,6927
14,6927
13,6927
10,7430
6,6927
13,6927
5,6927
7,6927
16,6927
1,6927
4,6927
4,6927
16,6927
6,6927
11,6927
14,6927
4,6927
10,6927
16,6927
2,6927
17,6927
17,6927
2,6927
5,6927
7,6927
16,6927
16,6927
6,6927
1,6927
9,10211
13,6927
7,6927
15,6927
10,6927
16,6927
13,6927
16,6927
7,6927
0,6927
11,6927
10,6927
7,6927
14,6927
11,6927
9,6927
7,6927
9,6927
13,6927
12,6927
15,6927
5,6927
12,6927
11,6927
17,6927
3,6927
0,6927
7,6927
12,6927
1,6927
9,6927
15,6927
10,6927
16,6927
1,6927
1,6927
8,6927
5,6927
14,6927
10,6927
15,6927
16,6927
17,6927
17,6927
2,6927
14,7362
7,6927
17,6927
0,6927
12,6927
7,6927
5,9373
9,6927
0,6927
17,6927
17,6927
11,6927
9,6927
4,6927
15,6927
7,6927
2,6927
19,6927
0,6927
13,6927
6,6927
12,6927
11,6927
8,6927
9,6927
19,6927
2,6927
16,6927
6,6927
17,6927
0,6927
16,6927
8,6927
9,6927
8,6927
17,6927
19,6927
15,6927
4,6927
7,6927
18,6927
14,6927
16,6927
3,6927
6,6927
17,6927
12,6927
5,6927
16,6927
14,7376
12,6927
14,6927
14,6927
16,6927
18,6927
10,6927
14,6927
17,7122
7,6927
15,8335
15,7536
1,6927
7,6927
13,6927
3,6927
9,6927
15,6927
6,7202
15,6969
0,6927
16,6927
13,6927
5,9608
19,6927
6,6927
14,6927
15,6927
7,6927
11,6927
10,6927
2,6927
10,6927
5,6927
15,6927
15,6927
11,6927
12,6927
5,6927
0,6927
6,6927
10,6927
6,8752
15,6927
15,6927
15,6927
1,6927
4,6927
16,7609
1,6927
0,6927
2,6927
14,6927
6,6927
17,6927
9,8673
16,6927
11,6927
12,6927
14,7541
16,6927
6,6927
8,6927
16,6927
13,6927
14,6927
10,6927
7,6927
9,6927
5,6927
16,6927
14,6927
13,6927
15,6927
3,6927
11,6927
15,6927
17,6927
6,6927
15,6927
12,6927
7,8280
9,6927
18,6927
14,6927
11,6927
13,6927
8,6927
15,7372
9,6927
4,6927
10,6927
13,6927
11,6927
15,6927
17,6927
1,6927
3,6927
17,6927
11,6927
14,7275
13,6927
15,6927
15,6927
10,6927
16,6927
14,6927
12,6927
16,6927
0,6927
16,6927
3,6927
7,6927
19,6927
12,6927
17,6927
18,6933
11,6927
19,6927
8,6927
15,7101
12,6927
17,6927
12,6927
16,6927
1,6927
11,6927
1,6927
16,6927
4,6927
3,6927
4,6927
4,6927
10,6927
4,6927
16,6927
16,7313
11,6927
7,6927
13,6927
13,6927
14,6927
10,6927
14,6927
15,6927
15,6927
17,6927
19,6927
14,6927
15,6927
0,6927
9,6927
15,6927
0,6927
15,6927
15,6927
14,6927
5,6927
17,6927
2,6927
16,6927
14,6927
9,6927
15,6927
10,6927
11,6927
13,6927
11,6927
11,6927
14,6927
11,6927
17,6927
20,6927
12,6927
2,6927
16,6927
16,6927
14,8148
4,6927
0,6927
17,6927
17,6927
15,6927
9,6927
19,6927
0,6927
15,6927
6,6927
12,6927
14,6927
6,6927
14,6927
12,6927
15,6927
17,6927
6,6927
11,6927
14,6927
12,6927
10,6927
14,6927
16,6927
15,6927
14,6927
13,6927
8,6927
16,6927
12,6927
18,6927
2,6927
8,6927
3,6927
5,6927
17,6927
14,6927
10,7404
12,6927
16,6927
14,6927
19,6927
15,7369
11,6927
15,6927
8,6927
8,6927
10,6927
4,6927
12,6927
8,6927
5,6927
11,6927
3,6927
14,7371
13,6927
3,6927
9,6927
4,6927
10,7430
2,6927
8,6927
7,6927
18,6927
3,6927
5,6927
0,6927
15,6927
5,6927
7,6927
3,6927
12,6927
13,6927
16,6927
11,6927
18,6927
8,6927
17,6927
17,6927
15,6927
5,6927
20,6927
8,6927
5,6927
16,6927
15,6927
15,6927
13,6927
13,6927
16,6927
9,6927
12,6927
11,6927
17,6927
3,6927
12,6927
18,6927
6,6927
18,6927
11,7228
18,6927
17,6927
12,6927
3,6927
4,6927
6,6927
11,7246
18,6927
7,6927
15,6927
17,7319
17,7226
5,6927
21,6927
0,6927
13,6927
17,6927
17,6927
12,6927
6,6927
6,6927
13,7572
5,6927
13,6927
14,6927
15,6927
18,6927
18,6927
9,6927
2,6927
15,7226
15,6927
10,6927
16,6927
2,6927
10,6927
4,6927
6,6927
